Borough,Location Name,Type,latitude,longitude,Rating,Overall Sentiment Score,Negative Score,Neutral Score,Positive Score,Main Issues,Emotion Keywords,Review Count,Unnamed: 0,LSOA
City of London,London Bridge Christmas Market,Shopping Mall,51.5063073,-0.0833932,4.4,0.5946241120497385,0.0,0.6,0.4,"Comfort, Atmosphere, Aesthetics, Traffic, General","busy (18), beautiful (9), cozy (9), safe (9), congested (9), good (9), disappointing (7), crowded (6), lovely (6), charming (3), jammed (3), walking (3), tidy (3)",20,,
City of London,Spitalfields Market,Tourist Attraction,51.5197441,-0.0760687999999999,4.5,0.5991571545600891,0.0,0.6,0.4,"Accessibility, Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","old (36), safe (27), good (24), great (18), accessible (18), vibrant (18), walking (12), busy (12), lively (12), fantastic (9), easy (9), crowded (9), enjoyable (9), buzzing (9), central (9), music (9), clean (9), maintained (9), new (9), parking (9), perfect (7), beautiful (3), flow (3), far (3), tidy (3)",31287,,E01004307
City of London,Hay's Galleria,Shopping Mall,51.505661,-0.0834008,4.4,0.5594192922115326,0.0,0.6,0.4,"Accessibility, Comfort, Maintenance, Aesthetics, General","great (45), modern (19), spacious (18), safe (18), lovely (9), near (9), scenic (9), perfect (9), amazing (9), old (9), charming (3)",8229,,E01004027
City of London,Backyard Market,Shopping Mall,51.5211868,-0.0711443,4.4,0.5832463602224985,0.0,0.8,0.2,"Cleanliness, Aesthetics","lovely (10), clean (9), tidy (6), good (3)",250,,E01004306
City of London,1 Poultry,Shopping Mall,51.5133611,-0.0905479,4.5,0.5560325632492701,0.5,0.0,0.5,General,"good (18), great (9), safe (9)",2,,E01032739
City of London,The Royal Exchange,Shopping Mall,51.5136093,-0.0874576999999999,4.5,0.6462101181348164,0.0,0.2666666666666666,0.7333333333333333,"Accessibility, Atmosphere, Maintenance, Aesthetics, General","beautiful (24), perfect (12), walking (9), new (9), modern (9), stunning (9), vibrant (9), central (9), old (9), great (9), safe (3), relaxing (3), lovely (3)",1631,,E01032739
City of London,100 Liverpool Street,Shopping Mall,51.5179157,-0.0836179,4.4,0.5084436376889546,0.2666666666666666,0.5333333333333333,0.2,"Maintenance, General, Traffic, Safety","parking (27), great (27), cyclists (18), security (18), walking (12), bikes (12), good (12), secure (9), fantastic (9), new (3), safe (3), tidy (3)",21,,E01032739
City of London,The Arcade,Shopping Mall,51.5178706,-0.0826674,4.5,0.6509212454160055,0.1111111111111111,0.2222222222222222,0.6666666666666666,"Maintenance, Cleanliness","new (9), repaired (3), clean (3), lovely (3)",4,,E01032739
City of London,Twenty,Shopping Mall,51.51575769999999,-0.1026991,4.0,0.0,0.0,0.0,0.0,,,1,,E01032740
City of London,Tower of London,Tourist Attraction,51.50811239999999,-0.0759493,4.7,0.7813790361086528,0.0,0.2,0.8,"Safety, Noise, Comfort, Cleanliness, Atmosphere, Maintenance, Aesthetics, Traffic, General","great (18), perfect (18), old (12), lovely (12), maintained (9), stunning (9), amazing (9), improved (9), busy (9), enjoyable (9), safe (6), good (3), walking (3), messy (3), dark (3), peaceful (3)",112795,,E01004293
