LSOA,Avg_Sentiment_Score,Place_Count,Sentiment_Std,Most_Common_Category,Avg_Rating,Total_Reviews
E01000651,0.503,2,0.148,Positive,3.0,24
E01000652,0.666,3,0.071,Very Positive,4.6,402
E01000653,0.0,1,,Very Negative,3.7,3
E01000658,0.692,1,,Positive,4.5,533
E01000661,0.631,6,0.138,Positive,3.85,189
E01000662,0.558,3,0.043,Neutral,3.467,143
E01000665,0.466,4,0.324,Positive,4.425,39
E01000666,0.666,6,0.082,Positive,4.75,247
E01000667,0.473,1,,Negative,4.0,8
E01000668,0.571,14,0.262,Very Positive,4.571,1035
E01000670,0.644,4,0.129,Positive,4.25,109
E01000671,0.268,2,0.379,Neutral,5.0,22
E01000672,0.488,2,0.085,Negative,4.9,5
E01000673,0.371,4,0.266,Very Negative,4.5,10
E01000674,0.618,8,0.273,Very Positive,4.025,190
E01000675,0.616,27,0.153,Positive,4.267,14748
E01000676,0.53,18,0.183,Negative,3.761,440
E01000677,0.649,10,0.096,Very Positive,4.56,4282
E01000679,0.681,4,0.084,Positive,4.625,146
E01000683,0.718,1,,Very Positive,4.5,128
E01000689,0.612,5,0.156,Very Positive,4.68,174
E01000690,0.634,1,,Positive,4.4,27
E01000691,0.659,2,0.009,Positive,4.4,81
E01000692,0.682,2,0.207,Neutral,4.8,24
E01000693,0.625,5,0.36,Very Positive,4.66,34
E01000694,0.606,4,0.049,Positive,4.775,131
E01000695,0.573,2,0.101,Neutral,4.75,475
E01000696,0.635,6,0.074,Positive,4.45,52
E01000697,0.731,3,0.145,Positive,4.767,2785
E01000698,0.64,2,0.103,Neutral,4.6,204
E01000701,0.553,3,0.162,Positive,4.667,34
E01000702,0.71,1,,Very Positive,4.6,21
E01000703,0.756,1,,Very Positive,4.7,79
E01000706,0.606,2,0.222,Negative,3.85,52
E01000708,0.667,1,,Positive,4.4,17
E01000709,0.572,2,0.092,Neutral,4.65,60
E01000710,0.924,1,,Very Positive,5.0,2
E01000712,0.62,2,0.313,Very Negative,5.0,9
E01000713,0.678,1,,Positive,4.8,778
E01000714,0.451,15,0.298,Very Negative,4.173,561
E01000715,0.687,5,0.187,Very Positive,4.58,53
E01000716,0.822,1,,Very Positive,5.0,4
E01000717,0.738,1,,Very Positive,4.3,32
E01000719,0.595,1,,Neutral,4.0,3395
E01000720,0.622,1,,Positive,4.0,7
E01000725,0.622,1,,Positive,4.5,52
E01000728,0.642,2,0.048,Positive,4.1,66
E01000729,0.64,1,,Positive,2.2,29
E01000733,0.666,2,0.08,Positive,4.8,37
E01000737,0.584,2,0.112,Neutral,4.45,205
E01000740,0.526,7,0.239,Neutral,4.043,14335
E01000741,0.745,1,,Very Positive,4.8,17
E01000742,0.488,4,0.093,Negative,4.475,46
E01000743,0.513,1,,Neutral,4.0,519
E01000746,0.479,1,,Negative,4.4,24
E01000747,0.774,1,,Very Positive,4.7,2199
E01000749,0.631,3,0.149,Negative,4.933,35
E01000751,0.563,2,0.13,Negative,3.6,855
E01000754,0.629,1,,Positive,4.1,33
E01000756,0.538,2,0.016,Neutral,4.5,173
E01000757,0.838,1,,Very Positive,5.0,2
E01000759,0.546,3,0.07,Neutral,4.367,283
E01000760,0.423,3,0.367,Positive,4.133,290
E01000761,0.629,1,,Positive,4.4,40
E01000762,0.774,1,,Very Positive,4.2,5
E01000763,0.441,6,0.347,Positive,3.567,1436
E01000764,0.521,5,0.327,Neutral,4.08,118
