Station,latitude,longitude,address
Highgate,51.5706446,-0.1492397,"Highgate, London Borough of Camden, Greater London, England, N6 6BA, United Kingdom"
Hillingdon,51.5425193,-0.4483349,"London Borough of Hillingdon, Greater London, England, United Kingdom"
Holborn,51.5195982,-0.1137266,"Holborn, London Borough of Camden, Greater London, England, WC1R 5AH, United Kingdom"
Holland Park,51.5072349,-0.2054071,"Holland Park, Holland Park Avenue, Notting Hill, Royal Borough of Kensington and Chelsea, Greater London, England, W11 3RB, United Kingdom"
Holloway Road,51.5528674,-0.1130095,"Holloway Road, Lower Holloway, Holloway, London Borough of Islington, Greater London, England, N7 8HS, United Kingdom"
Homerton,51.5470789,-0.043121,"Homerton, Sedgwick Street, Homerton, London Borough of Hackney, Greater London, England, E9 6AB, United Kingdom"
Honor Oak Park,51.4504605,-0.0450199,"Honor Oak Park, Grierson Road, Crofton Park, Honor Oak, London Borough of Lewisham, Greater London, England, SE23 1PE, United Kingdom"
Hornchurch,51.5617734,0.2207441,"Hornchurch, London Borough of Havering, Greater London, England, RM12 6AF, United Kingdom"
Hounslow Central,51.471307,-0.3662332,"Hounslow Central, Concorde Close, Osterley, London Borough of Hounslow, Greater London, England, TW3 4DG, United Kingdom"
Hounslow East,51.4734727,-0.3558944,"Hounslow East, Stirling Grove, Osterley, London Borough of Hounslow, Greater London, England, TW3 1QG, United Kingdom"
Hounslow West,51.4735822,-0.3858181,"Hounslow West, Ambassador Close, Vicarage Farm, Hounslow West, London Borough of Hounslow, Greater London, England, TW3 3DW, United Kingdom"
Hoxton,51.5323935,-0.086078,"Hoxton, London Borough of Hackney, Greater London, England, N1 6TJ, United Kingdom"
Hyde Park Corner,51.5027264,-0.1543249,"Hyde Park Corner, A4, Belgravia, City of Westminster, Greater London, England, SW1X 7LY, United Kingdom"
