LSOA_CODE,AvgPrice,MeanPTAL,MedianPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01003956,699750.0,10.572830458189785,9.923908617391591,1565.0,0.1155323108707526,0.6627888039347095,0.118,111.81530284192552,155.19038726046205,18,934.3053539006464,2625.5096975749543,0.0227254373260317,42,2,115367.86267499956
E01003957,645000.0,8.302415919403481,8.760692102834543,1605.0,0.1688028022576009,0.5558282860962218,0.223,178.58312958377067,198.5455241160015,14,1330.8139562752417,2534.4972705894033,0.0150125260368106,26,2,165577.23138083096
E01003958,710000.0,10.417117101313282,10.398991914078277,1639.0,0.1590912137836249,0.6184478212767305,0.1182333979715607,12.560837593774156,74.81072473906053,12,1240.5961173431622,2114.650795239639,0.0132917256519492,30,3,156398.4768191846
E01003960,515000.0,28.131476536055175,29.312647148562487,1504.0,0.1266351280372676,0.640777351617557,0.1547668924965643,483.2313979503951,155.17513438624937,24,766.7044517708872,2408.334496879581,0.0190179535411723,37,5,99813.08852048176
E01003961,385000.0,18.21259747932478,16.929019802252565,1577.0,0.1204993296784258,0.6125974608170425,0.3768261555280281,189.43226967727747,121.7282449038289,22,873.9027337706935,2423.1912241964783,0.0201854710457783,48,4,87560.27395407936
E01003963,360000.0,22.153330602375995,28.004650956206703,1666.0,0.0593810729639287,0.6516476435984512,0.2409920677795056,222.30503145883657,242.17500389605536,21,457.56929131063634,874.6647409679117,0.0147356275886136,15,4,57960.35711321913
E01003964,351500.0,14.627471105446048,14.31062412690799,1628.0,0.4432809768255,0.738,0.448,19.0,162.69935512376512,14,1284.8232388445963,3835.395054541271,0.0086522888530158,43,6,398094.2310826937
E01003966,556658.0108108178,18.12500691296531,17.861493168926852,1575.0,0.1019136855259121,0.4686240487912669,0.448,199.97289015130167,158.7922894603802,18,1126.669375468314,1737.963690933531,0.0169780895933614,40,3,72555.40333360272
E01003967,429558.14224737627,19.27175462230513,20.007619961711196,1642.0,0.058208165089495,0.683296349854361,0.1897797591259443,163.46091274661865,151.42793355479165,18,352.1552935728883,734.3605713992916,0.0126161092738486,18,3,51735.98074817846
E01003968,370966.70040553424,15.29302546140229,15.47750907501497,1590.0,0.0533073855125049,0.7905,0.2611510550194221,10.5,150.6605359220916,10,841.3986244236114,698.0526873535154,0.013094858820074,11,1,51780.480666846575
E01003969,375000.0,17.98270778750632,18.107945330374186,1556.0,0.2842084668237414,0.843,0.041,2.0,131.69757860199687,18,333.38946699836896,3772.7183492019494,0.0132753344982027,67,5,210508.0160286872
E01003970,442466.1884350309,17.070053153531653,17.024765821867685,1775.0,0.2003451624664969,0.6585200057586917,0.041,281.4667348983472,18.478459945698525,8,748.879530563914,1134.9404961035752,0.0056649258815688,28,3,191191.63533595385
E01003971,462697.7961288472,11.314344859595645,13.756096014272446,1738.0,0.063550252867691,0.5622772395458991,0.448,9.662365728752553,77.96168032022779,15,909.536884173686,687.3770682675463,0.0107859973456616,13,2,52017.44771049537
E01003972,481542.81388486136,12.204738600019205,15.100502229060847,1709.0,0.0728625016655901,0.7001110668414248,0.314,151.12392622136963,174.2606574506016,17,588.0994314016828,1355.0698801879555,0.0186036361109937,29,2,59714.483677011696
E01003973,451870.20052274136,20.457931883160136,17.927015151584303,1818.0,0.0884815729766911,0.6346039734727003,0.092,261.5341523816909,213.5167427073482,25,324.28462893634736,1757.802566771499,0.0198667156848307,38,3,66175.17115089647
E01003974,411195.7861396286,19.199522081305822,19.179010020523044,1410.0,0.0557285336789991,0.7752245159987885,0.2381174149666722,59.14289529208734,118.60003494990222,12,700.2006440403137,802.4346332588111,0.014398990611899,21,2,54599.04920657037
E01003975,700000.0,15.3306558593972,16.129051239199917,1528.0,0.0817959090274127,0.5206104194865094,0.2607764176728531,447.0628551962168,127.1097746818344,25,484.6818554406103,1559.9241238104066,0.0190710119748928,27,2,61560.91103233153
E01003976,462500.0,23.9600164620962,13.7040110169295,1550.0,0.1199881297639422,0.261,0.369,2.0,76.41710483309909,31,275.71232846088037,2172.9364085202747,0.0181098381224462,51,6,106141.05056090251
E01003977,550000.0,11.803765099210738,12.374780643495804,1575.0,0.1292202937678802,0.3732412831572391,0.3841646125781545,2218.8365552275222,156.59213471426813,15,215.3637636900519,1001.5657210842528,0.0077508651425677,23,4,79790.7109105999
E01003978,552500.0,22.6423541058465,22.528807632859824,1468.0,0.1384681179990038,0.717,0.2095158399477555,807.0,114.314499977484,24,532.5493942371968,1452.598505657097,0.0104904907111364,29,5,109840.95046802428
E01003979,785000.0,16.282060785821454,16.72287355424146,1625.0,0.1674880095184519,0.379,0.536,5.0,203.3249414635459,26,726.6284573875428,2331.5030597589357,0.0139385956790157,40,3,144046.17601724566
E01003980,290000.0,14.217163827601563,13.506541739045028,1458.0,0.193786766003372,0.5671757201763409,0.2601604669449874,127.0047242420775,211.7205506195686,21,857.0650950658542,2034.2657983905212,0.010487718698955,29,4,184411.239593355
E01003981,650000.0,59.74065369107889,52.650584206635955,1571.0,0.1903138009426708,0.594,0.184,55013.0,100.76693340607524,32,132.2137952847058,2641.009359032885,0.0138712752449531,41,5,104474.28548942886
E01003983,453104.5168052346,13.232255814276227,12.90504668448942,1718.0,0.1171838100687682,0.6649812504103787,0.006,32.889413267874126,108.98127077542918,17,823.038049220708,1725.0930051025907,0.0147068383945862,30,3,130496.48181748566
E01003984,660000.0,17.84445903821613,18.033577469865634,1638.0,0.1655086249533301,0.4334641147976888,0.0493842102563907,84.71001088593404,31.684787112622175,18,385.30519844095335,2841.91830046783,0.0172547454072301,40,2,157322.78423078486
E01003986,355000.0,9.929200324008438,8.614896167619396,1535.0,0.1803287405845167,0.4888470729051292,0.126,405.4076573619474,96.40493514580665,15,51.44896743444544,1033.4293517432293,0.0057307744374543,16,3,102949.31114750112
E01003987,401250.0,6.509074662707911,7.099875575163788,1726.0,0.1373016641595129,0.550867757688945,0.129,2107.84657885945,188.224571697198,15,271.13375702719253,1857.413740217532,0.0135292808004767,35,4,107910.5489035277
E01003988,431118.9441747517,11.091483319300568,11.024809699092302,1701.0,0.3855977057721179,0.4471513862189089,0.069,56.10780244551164,177.09175864755878,13,383.2627701621865,3549.9216342270624,0.0091874431766096,65,5,359188.3192565183
