LSOA_CODE,Education_HighLevel_pct,MeanPTAL,Population,Area_km2,MeanSentiment,SentimentSD,ReviewCount,NearestStation_m,StationsWithin500m,NearestRail_m,StreetLength_m,StreetDensity_m_per_m2,StreetSegments,LandUse_Diversity,LandUse_Area
E01004081,26.8,5.009992454828528,1464.0,0.17006965552693795,0.3859983446528388,0.16526681936956597,1305.6414842946317,171.20749875369637,11,489.97109388587427,1804.610358744009,0.010610879925653275,21,3,136136.52271987987
E01004082,25.6,5.701134761778141,1366.0,0.17564478408939083,0.378,0.309,3.0,241.9661501556535,12,1051.3474843501215,1804.9394015834457,0.010276097308600766,17,3,168211.91702627816
E01004083,16.5,3.937386774644191,1545.0,0.24576283077041677,0.5185627808541051,0.2605491261724351,895.1882185013865,268.1271796724635,4,1422.7845629044473,1076.6606378892202,0.004380872687029864,16,4,131983.51165317855
E01004084,37.1,3.410517940103447,1421.0,0.5081445637878427,0.48369380784490984,0.1265726539418865,39.41682560596443,326.13994409376136,11,1676.8017464861366,4761.956846235584,0.009371316895453854,42,4,539325.9275773054
E01004085,39.1,1.628731422559682,1601.0,0.8088719489045847,0.47454246659713867,0.2303648880490751,1404.7095333527418,519.6281584714682,0,1606.804040226705,5177.3036250754085,0.0064007800024629335,56,6,681350.193190903
E01004086,30.1,6.051662613039894,1510.0,0.5587062232139646,0.312,0.367,13.0,118.1682562947226,14,719.1119149302064,4209.091842574527,0.0075349781066899974,51,6,496312.7271906098
E01004087,32.2,4.523717204338833,1482.0,0.3584679822132251,0.4771945441073403,0.032615851887580365,23.893076288083616,183.86249697668535,13,1015.5022306389234,3640.2157007785786,0.010154924820307503,36,2,336014.8025468314
E01004088,11.4,3.467739410610948,1562.0,0.46896540688571053,0.4659984578113176,0.23495374356231202,282.75504082143505,339.6474466159062,4,1396.3078606717763,1627.3795196783374,0.00347014315183611,27,4,354416.4731928937
E01004089,16.6,4.814092854917974,1545.0,0.11215476430093692,0.637,0.14978131583387433,18.0,191.61600578602554,11,974.7917661203077,1257.9126424489302,0.011204832033400907,24,2,97604.31046630809
E01004090,22.5,8.719539651594777,1186.0,0.18964511044975266,0.607,0.169,12.0,33.95223254471631,20,383.88579474242727,1817.8882320988812,0.009603121040841673,16,3,126221.50720241768
E01004092,44.8,4.056907795048323,1506.0,0.6486723170587764,0.622,0.14550000000000002,19.0,357.9300715598811,8,847.1155580154727,4732.929611023046,0.0072946857452837795,53,3,587091.50811727
E01004093,46.1,3.232334282163388,1525.0,0.4030282878976693,0.63,0.15686181656430775,682.0,67.66846971442774,7,560.7428471503115,2321.268624044731,0.005760869437860735,24,4,470101.78411654185
E01004095,47.2,2.85037742551548,1409.0,0.29002550466947025,0.6188397193759889,0.12235433753521353,81.2507472906632,159.93290020023858,4,468.07878570666566,3228.501087035334,0.011130029711163175,30,2,291311.09988326975
E01004096,40.3,6.497596766990003,1390.0,0.15356032870677244,0.6967627264354134,0.11725303978925787,76.27875392069105,25.402683509948382,9,448.1545895490913,1242.9375228547897,0.00808167711902957,22,3,160280.88225009877
E01004097,34.2,7.558993386242397,1556.0,0.272063521104773,0.6054875332694205,0.13071965751814757,1107.276953040701,270.3713828855573,12,199.28481657039023,2401.0445047091016,0.008825283783625529,35,7,233590.27255728986
E01004098,43.2,7.410052381769428,1321.0,0.22345471004757622,0.6236968824517334,0.08780982260103266,389.86972817294406,160.76660873860007,11,297.57641680611647,2700.7335118301676,0.012090773699995824,30,1,206846.71635014898
E01004099,37.6,9.767943237670302,1454.0,0.38856636724370225,0.576,0.1,1793.0,115.49716824065898,13,245.6430902332697,3021.634878572756,0.007776370235090929,42,7,290180.28974245174
E01004100,30.4,7.886548923522905,1376.0,0.35114292729722657,0.676,0.17960141205446134,26.0,48.543402326488575,11,82.95606935258758,3284.5211779876518,0.009348669536960551,44,8,294672.6101681438
E01004101,27.3,5.597485709524816,1383.0,0.22415217447498162,0.5576799485317496,0.19251486211581623,689.0426255611965,234.679945370156,10,442.37556736250025,3129.2763811108916,0.013973796719009111,39,7,222988.99156502786
E01004102,37.2,9.03542821077553,1302.0,0.3915887482554057,0.548,0.067,1045.0,316.3636609255531,12,717.6169778330835,3914.164076631021,0.009993471852274814,48,5,365847.2694265695
E01004103,39.8,5.952924852800732,1460.0,0.1756307129443004,0.672,0.11603908323090054,52.0,117.16392574787807,14,306.56663355990247,3012.7075267637665,0.01715306515606469,38,5,170197.04348012005
E01004104,38.5,6.040185127777435,1751.0,0.3682021216590104,0.787,0.08102635107596969,21.0,251.36139933324316,9,394.7876662557845,3453.265880564207,0.00937881156387058,32,4,331315.81599919137
E01004105,41.4,6.282189795913045,1784.0,0.38444716692230446,0.654,0.067,32.0,59.109630369093125,19,452.2035674434516,4872.345907678195,0.012673616127331457,65,3,364045.11289386183
E01004106,45.8,2.503041754213395,1517.0,0.8138691692784134,0.633,0.12811230253933967,77.0,34.23130714495002,11,1192.0397588500234,6669.147286382179,0.008194371723383689,65,3,787526.9182413637
E01004107,26.0,4.618897333045713,1539.0,0.24209187330394374,0.5877233967687926,0.08945938366157083,283.4747457262012,91.57866768321065,14,632.2091665998859,2681.4968699307888,0.011076179931965791,41,4,277512.1901567722
E01004110,37.4,7.239593272277824,1497.0,0.31045411224675235,0.537,0.231,129.0,98.16881024725812,16,353.482707658641,3921.508582187264,0.012631600801185805,63,3,233691.61603170345
E01004115,25.0,4.297388223001295,1680.0,0.25959539715306384,0.563,0.108,8.0,253.46056285601554,6,1003.0644604809684,1917.257594827994,0.007385588371411853,24,2,233125.74745016027
E01004118,23.8,8.57927668084197,1481.0,0.2715325894746197,0.583,0.085,318.0,146.0564504006997,19,1499.5560852069723,3210.3426731551644,0.011832714608010933,44,2,217078.81167828938
